originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,desktopkeystrokes,newdesktopkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
"?4,GREW,fine,LATE?",1,5,3,2,0,-3,8,117.98259933019747,"GREWLATEfine4?,,,?",92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,33,27,33,27,28,28,18,12,1,5
?7.sand.gave.SPOT?,1,5,3,1,0,-3,7,117.98259933019747,SPOTsandgave7?...?,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,29,23,29,23,24,24,18,12,1,5
|9|fair|LIKE|HERS|,1,5,3,2,0,-3,8,117.98259933019747,LIKEHERSfair9|||||,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,39,28,39,28,31,31,18,12,1,5
=9_told_HAND_DARE=,1,5,3,2,0,-3,8,117.98259933019747,HANDDAREtold9=___=,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,39,28,39,28,29,29,18,12,1,5
+9|tore|LOUD|DUCK+,1,5,3,2,0,-3,8,117.98259933019747,LOUDDUCKtore9+|||+,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,39,28,39,28,31,31,18,12,1,5
|4=SAND=head=wise|,1,5,3,1,0,-3,7,117.98259933019747,SANDheadwise4|===|,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,35,24,35,24,24,24,18,12,1,5
=2+GOES+UPON+THEN=,1,5,3,3,0,-3,9,117.98259933019747,GOESUPONTHEN2=+++=,101.21741684730613,16.765182482891348,14.209877200595228,0,5,5,1,0,-1,10,43,32,43,32,33,33,18,12,1,5
@5*RING*week*loud@,1,5,3,1,0,-3,7,117.98259933019747,RINGweekloud5@***@,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,32,25,29,23,27,27,18,12,1,5
!2_WOOD_GIVE_FLAT!,1,5,3,3,0,-3,9,117.98259933019747,WOODGIVEFLAT2!___!,101.21741684730613,16.765182482891348,14.209877200595228,0,5,5,1,0,-1,10,40,33,40,33,35,35,18,12,1,5
%3_TALL_work_area%,1,5,3,1,0,-3,7,117.98259933019747,TALLworkarea3%___%,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,35,24,35,24,27,27,18,12,1,5
|6*news*NEXT*TINY|,1,5,3,2,0,-3,8,117.98259933019747,NEXTTINYnews6|***|,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,39,28,36,30,31,31,18,12,1,5
!1_CAME_GAVE_duck!,1,5,3,2,0,-3,8,117.98259933019747,CAMEGAVEduck1!___!,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,36,29,36,29,31,31,18,12,1,5
"|3,hang,FAIL,fine|",1,5,3,1,0,-3,7,117.98259933019747,"FAILhangfine3|,,,|",92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,32,26,32,26,24,24,18,12,1,5
"&3,SEND,well,tell&",1,5,3,1,0,-3,7,117.98259933019747,"SENDwelltell3&,,,&",92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,29,23,29,23,24,24,18,12,1,5
^8*best*wild*UPON^,1,5,3,1,0,-3,7,117.98259933019747,UPONbestwild8^***^,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,35,24,29,23,27,27,18,12,1,5
%2.WAVE.fail.lady%,1,5,3,1,0,-3,7,117.98259933019747,WAVEfaillady2%...%,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,32,26,32,26,24,24,18,12,1,5
!0.date.FAST.DRAW!,1,5,3,2,0,-3,8,117.98259933019747,FASTDRAWdate0!...!,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,33,27,33,27,28,28,18,12,1,5
&8-PUSH-ROPE-KNOW&,1,5,3,3,0,-3,9,117.98259933019747,PUSHROPEKNOW8&---&,101.21741684730613,16.765182482891348,14.209877200595228,0,5,5,1,0,-1,10,37,31,37,31,32,32,18,12,1,5
+9.CALL.than.LEGS+,1,5,3,2,0,-3,8,117.98259933019747,CALLLEGSthan9+...+,92.26613213233915,25.71646719785832,21.79683050200118,0,5,5,1,0,-1,10,36,30,36,30,28,28,18,12,1,5
